district_code,district,noh_t,area_noh_t,gca_irrigated_t,gca_unirrigated_t,gca_t,noh_st,area_noh_st,gca_irrigated_st,gca_unirrigated_st,gca_st
532,ADILABAD,519995,728579,85925,565374,651299,111340,187245,6967,149137,156105
533,NIZAMABAD,473528,434476,373903,205407,579310,38982,33612,30077,15273,45350
534,KARIMNAGAR,662345,638690,518545,141753,660297,19332,16651,10022,5192,15214
535,MEDAK,684543,662932,206718,352607,559325,35100,36362,9778,22102,31880
537,RANGAREDDY,342671,419634,80097,153564,233661,29498,32328,8142,13847,21989
538,MAHABUBNAGAR,982314,1204862,304133,712773,1016906,90948,97770,18977,61042,80019
539,NALGONDA,757188,904236,479426,311525,790951,84584,84019,35936,32576,68512
540,WARANGAL,663061,667311,427059,202812,629872,106316,102576,67363,35058,102422
541,KHAMMAM,468337,536105,286195,274898,561094,156327,180118,56179,114726,170905
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
