,,Total Holdings,,Gross Cropped Area,,
,district,Number,Area,Irrigated,Unirrigated,Total
1,ADILABAD,111340,187245,6967,149137,156105
2,NIZAMABAD,38982,33612,30077,15273,45350
3,KARIMNAGAR,19332,16651,10022,5192,15214
4,MEDAK,35100,36362,9778,22102,31880
5,RANGAREDDY,29498,32328,8142,13847,21989
6,MAHABUBNAGAR,90948,97770,18977,61042,80019
7,NALGONDA,84584,84019,35936,32576,68512
8,WARANGAL,106316,102576,67363,35058,102422
9,KHAMMAM,156327,180118,56179,114726,170905
10,SRIKAKULAM,36050,26845,8146,14769,22915
11,VIZIANAGARAM,39185,36850,7693,27879,35571
12,VISAKHAPATNAM,108507,174416,45057,103917,148974
13,EAST GODAVARI,43952,81435,22233,22023,44256
14,WEST GODAVARI,20810,24157,17928,6695,24622
15,KRISHNA,12631,9287,4138,4646,8784
16,GUNTUR,21028,18891,12069,6791,18861
17,PRAKASAM,13818,12384,4424,5569,9993
18,NELLORE,24706,14318,11587,2626,14213
19,KADAPA,8527,7573,2187,3109,5296
20,KURNOOL,12331,16423,3336,10590,13926
21,ANANTHAPUR,29469,42531,5007,33691,38698
22,CHITTOOR,16039,12322,3421,5190,8611
,,,,,,
