,,total holdings,,wholly irrigated holdings,,wholly unirrigated holdings,,partly irrigated holdings ,,,holdings receiving irrigation,
,district,Number,Area,Number,Area,Number,Area,Number,Total Area,Irrigated Area,Number,Net Irrigated Area
1,ADILABAD,519995,728579,70769,54859,383862,533813,19233,50261,23880,90002,78739
2,NIZAMABAD,473528,434476,249881,203733,128681,113433,32675,55905,28501,282556,232234
3,KARIMNAGAR,662345,638690,378736,333341,135093,95477,76870,117621,88295,455606,421636
4,MEDAK,684543,662932,156032,122114,332458,280170,81887,102145,50543,237919,172658
5,RANGAREDDY,342671,419634,62776,49217,138559,125519,29662,40582,18383,92438,67600
6,MAHABUBNAGAR,982314,1204862,163111,167728,543255,544388,116513,258389,113602,279624,281330
7,NALGONDA,757188,904236,273311,231349,203391,189330,98910,192323,87654,372221,319003
8,WARANGAL,663061,667311,347293,290340,179220,144863,69896,119733,66666,417189,357007
9,KHAMMAM,468337,536105,196885,181511,196798,210141,43548,93283,42118,240433,223629
10,SRIKAKULAM,525870,349412,332439,189726,116589,67247,55636,70323,40288,388075,230015
11,VIZIANAGARAM,446841,342484,174039,91760,149457,99000,113605,118054,62981,287644,154740
12,VISAKHAPATNAM,474738,400083,229057,125398,157062,134808,88619,103649,45350,317676,170748
13,EAST GODAVARI,698714,501366,464537,280632,179228,107942,45026,52645,28685,509563,309318
14,WEST GODAVARI,565831,470051,525832,419418,31349,27770,2507,5403,3043,528339,422461
15,KRISHNA,551567,508413,402906,324371,127005,135549,15750,36551,16066,418656,340438
16,GUNTUR,760648,701404,490125,418976,221927,194947,15964,33035,18355,506089,437331
17,PRAKASAM,670553,847508,172778,154809,405723,424384,44657,105398,45042,217435,199851
18,NELLORE,457015,478919,337939,272739,68767,94199,10400,18828,8609,348339,281348
19,KADAPA,441306,542399,163214,132272,161398,215289,25537,51028,21337,188751,153609
20,KURNOOL,632902,1050086,160606,188544,406206,655513,35657,106422,40909,196263,229453
21,ANANTHAPUR,727951,1278010,65853,91260,544062,846665,76946,194477,73156,142799,164416
22,CHITTOOR,667182,626306,176303,120530,258971,171442,80089,117932,57102,256392,177632
,,,,,,,,,,,,
