,,,,Number of Wells,,,,,,,
,,,,in Use,,,,,,,
,,Total Holdings,,With Pumpsets,,,,,Number of Tubewells,,
,district,Number,Area,Electric,Diesel,Total,Without Pumpsets,Not in Use,Electric,Diesel,Total
1,ADILABAD,519995,728579,38969,776,39745,142,98,19992,241,20233
2,NIZAMABAD,473528,434476,7868,26,7894,7,1010,172501,263,172764
3,KARIMNAGAR,662345,638690,358302,1089,359391,665,5035,12793,3546,16339
4,MEDAK,684543,662932,23491,254,23745,111,3157,146194,1068,147262
5,RANGAREDDY,342671,419634,9366,230,9596,138,4977,81120,173,81293
6,MAHABUBNAGAR,982314,1204862,22183,380,22563,113,1356,216663,1538,218201
7,NALGONDA,757188,904236,50450,879,51329,1142,6032,188179,1024,189203
8,WARANGAL,663061,667311,162327,5096,167423,434,174,3205,158,3363
9,KHAMMAM,468337,536105,36810,604,37414,87,166,27636,2164,29800
10,SRIKAKULAM,525870,349412,1058,1461,2519,1104,379,534,2444,2978
11,VIZIANAGARAM,446841,342484,13262,4720,17982,3030,289,11024,309,11333
12,VISAKHAPATNAM,474738,400083,12829,1710,14539,4197,243,2724,1328,4052
13,EAST GODAVARI,698714,501366,1573,107,1680,59,32,41471,3449,44920
14,WEST GODAVARI,565831,470051,3934,17,3951,183,48,116259,1023,117282
15,KRISHNA,551567,508413,6909,2089,8998,13,27,40280,1312,41592
16,GUNTUR,760648,701404,1929,195,2124,866,187,24694,101,24795
17,PRAKASAM,670553,847508,4098,175,4273,2,498,73584,80,73664
18,NELLORE,457015,478919,15438,755,16193,1521,452,48328,247,48575
19,KADAPA,441306,542399,8693,357,9050,799,7706,61680,656,62336
20,KURNOOL,632902,1050086,12408,100,12508,174,739,36735,262,36997
21,ANANTHAPUR,727951,1278010,17075,162,17237,17,15355,91144,49,91193
22,CHITTOOR,667182,626306,36765,24,36789,537,28020,121818,127,121945
,,,,,,,,,,,
