state_code,district_code,district,livestock_total,poultry_total,bovine_rural_male,bovine_urban_male,bovine_total_male,bovine_rural_female,bovine_urban_female,bovine_total_female,bovine_rural_total,bovine_urban_total,bovine_total,mec_upto_1to1.5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2.5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total,mic_upto_2_year,mic_breeding,mic_draught,mic_draught_breeding,mic_others,mic_total,fic_upto_1_year,fic_upto_1to3_year,fic_milk,fic_dry,fic_not_calved_once,fic_others,fic_total,ic_total,cattle_total,mb_upto_2_year,mb_breeding,mb_draught,mb_draught_breeding,mb_others,mb_total,fb_upto_1_year,fb_upto_1to3_year,fb_milk,fb_dry,fb_not_calved_once,fb_others,fb_total,buffaloes_total,mithuns_male_upto_3_year,mithuns_female_upto_3_year,mithuns_total_upto_3_year,mithuns_male_above_3_year,mithuns_female_above_3_year,mithuns_total_above_3_year,mithuns_total,yaks_male_upto_3_year,yaks_female_upto_3_year,yaks_total_upto_3_year,yaks_male_above_3_year,yaks_female_above_3_year,yaks_total_above_3_year,yaks_total,sheep_exotic_male_upto_1_year,sheep_exotic_male_above_1_year,sheep_exotic_male,sheep_exotic_female_upto_1_year,sheep_exotic_female_above_1_year,sheep_exotic_female,sheep_exotic_total,sheep_indi_male_upto_1_year,sheep_indi_male_above_1_year,sheep_indi_male,sheep_indi_female_upto_1_year,sheep_indi_female_above_1_year,sheep_indi_female,sheep_indi_total,sheep_total,goat_male_upto_1_year,goat_male_above_1_year,goat_male_total,goat_female_upto_1_year,goat_female_milk,goat_female_dry,goat_female_not_calved_once,goat_female_total,goat_total,pigs_exotic_male_upto_6_month,pigs_exotic_male_above_6_month,pigs_exotic_male_total,pigs_exotic_female_upto_6_month,pigs_exotic_female_above_6_month,pigs_exotic_female_total,pigs_exotic_total,pigs_indi_male_upto_6_month,pigs_indi_male_above_6_month,pigs_indi_male_total,pigs_indi_female_upto_6_month,pigs_indi_female_above_6_month,pigs_indi_female_total,pigs_indi_total,pigs_total,horses_male_upto_3_year,horses_male_cart,horses_male_sport,horses_male_total,horses_female_upto_3_year,horses_female_above_3_year,horses_female_total,horses_total,mules_upto_3_year,mules_above_3_year,mules_total,donkeys_male_upto_3_year,donkeys_male_above_3_year,donkeys_male_total,donkeys_female_upto_3_year,donkeys_female_above_3_year,donkeys_female_total,donkeys_total,camels_male_upto_4_year,camels_male_above_4_year,camels_male_total,camels_female_upto_4_year,camels_female_above_4_year,camels_female_total,camels_total,dogs_male,dogs_female,dogs_total,rabbits_male,rabbits_female,rabbits_total,elephants_male,elephants_female,elephants_total,cocks_desi,cocks_improved,cocks_total,hens_desi,hens_improved,hens_total,chickens_desi_upto_5_month,chickens_improved_upto_5_month,chickens_total_upto_5_month,fowls_total,drakes_desi,drakes_improved,drakes_total,ducks_desi,ducks_improved,ducks_total,ducklings_desi_upto_5_month,ducklings_improved_upto_5_month,ducklings_total_upto_5_month,ducks_total,turkeys_male,turkeys_female,turkeys_total,quails_total,poultry_birds_other,poultry_birds_total,layers_in_farm,broilers_in_farm,ducks_in_farm,others_in_farm,milk_machines,mfc,baler_chooper,de_de_equipment,cattle_hhs_hhs_e,buffalo_hhs_hhs_e,goat_hhs_hhs_e,sheep_hhs_hhs_e,pigs_hhs_hhs_e,byp_hhs_hhs_e,poultry_hhs_hhs_e,cattle_non_hhs_e,buffalo_non_hhs_e,goat_non_hhs_e,sheep_non_hhs_e,pigs_non_hhs_e,poultry_non_hhs_e,cattle_stray_rural,cattle_stray_urban,cattle_stray_total,dogs_stray_rural,dogs_stray_urban,dogs_stray_total,hhs_total,cattle_1000_hhs,buffaloes_1000_hhs,sheep_1000_hhs,goats_1000_hhs,pigs_1000_hhs
28,532,Adilabad,2545111,1839438,491198,6389,497587,773589,23439,797028,1264787,29828,1294615,2955,670,1073,262,132,5092,3485,2071,3712,1824,786,696,12574,17666,72609,28579,356558,17367,1786,476899,104362,98497,160581,80450,28902,7162,479954,956853,974519,9639,4263,1250,113,331,15596,64397,50787,119475,49363,16955,3523,304500,320096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,146,542,426,1170,1596,2138,83905,67699,151604,168149,359323,527472,679076,681214,98986,63457,162443,118559,161439,79067,38821,397886,560329,66,45,111,62,83,145,256,1428,1614,3042,2320,3226,5546,8588,8844,1,0,3,4,1,3,4,8,0,0,0,85,11,96,0,0,0,96,1,4,5,0,0,0,5,8616,4611,13227,91,95,186,0,0,0,230936,13483,244419,398847,21292,420139,849891,31985,881876,1546434,107,27,134,988,36,1024,92,4,96,1254,48,74,122,50,323,1548183,83200,166800,2000,39255,49,36,3,0,204918,64639,51871,18133,627,147362,9360,0,1,4,2,0,2711,3396,233,3629,34322,2053,36375,586810,1661,545,1161,955,15
28,533,Nizamabad,2154188,3580805,157694,1717,159411,564552,11096,575648,722246,12813,735059,4340,139,791,31,24,5325,7099,639,15161,7562,297,99,30857,36182,33779,5110,75080,2271,1229,117469,43621,21392,79059,20870,12112,3865,180919,298388,334570,32636,1867,1258,289,567,36617,95935,42159,162193,38654,18911,6020,363872,400489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,318,885,1731,2016,3747,4632,79590,68308,147898,169005,599024,768029,915927,920559,52791,34055,86846,90110,204003,64636,32205,390954,477800,111,174,285,167,188,355,640,2904,3430,6334,4877,7965,12842,19176,19816,14,23,1,38,5,12,17,55,14,85,99,122,474,596,53,110,163,759,2,3,5,27,9,36,41,8733,4373,13106,47,62,109,0,0,0,49959,2788,52747,276754,4443,281197,457787,4628,462415,796359,190,13,203,2147,14,2161,1674,4,1678,4042,102,132,234,1,107,800743,1452523,1325705,110,1724,7,60,0,0,51983,89055,13130,10311,516,56283,194838,44,50,12,7,0,0,3327,99,3426,24603,2922,27525,578382,578,692,1592,826,34
28,534,Karimnagar,2957092,5325346,296500,3176,299676,564933,9608,574541,861433,12784,874217,7129,809,2665,462,177,11242,13874,7677,22587,4648,2688,453,51927,63169,20840,6787,205192,4159,1275,238253,20607,20068,35593,14965,9056,1674,101963,340216,403385,43132,2906,2581,932,630,50181,93873,68731,175791,46353,29081,6822,420651,470832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,1594,4289,4758,7830,12588,16877,165580,128020,293600,391565,940819,1332384,1625984,1642861,50330,43155,93485,89505,133383,54436,36683,314007,407492,631,735,1366,797,1014,1811,3177,4773,5245,10018,8310,10919,19229,29247,32424,3,19,1,23,4,24,28,51,0,0,0,12,6,18,8,10,18,36,0,1,1,10,0,10,11,9781,4444,14225,626,260,886,0,0,0,261814,14420,276234,515664,26016,541680,775315,33384,808699,1626613,532,8,540,888,57,945,4170,4,4174,5659,140,240,380,15034,481,1648167,1811861,1857225,4150,3943,42,83,15,0,121904,155247,33664,52537,2132,180639,292100,69,25,7,4,0,3450,1230,1346,2576,51810,3955,55765,920746,438,511,1784,443,35
28,535,Medak,2559981,25820180,318357,870,319227,552517,5571,558088,870874,6441,877315,3616,471,2395,209,40,6731,5926,3182,12526,2539,1162,117,25452,32183,40582,11762,152121,7734,839,213038,41459,31755,71688,30639,17340,3591,196472,409510,441693,56382,7214,32550,2673,639,99458,81646,50154,141925,40889,19083,2467,336164,435622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,1291,2543,378,1574,1952,4495,116758,93731,210489,243648,616053,859701,1070190,1074685,75615,61434,137049,115639,186481,87413,51340,440873,577922,430,471,901,897,746,1643,2544,5333,4637,9970,7241,9095,16336,26306,28850,5,28,7,40,20,19,39,79,0,0,0,319,490,809,99,208,307,1116,10,3,13,0,1,1,14,21740,14281,36021,148,110,258,0,0,0,169005,16911,185916,271743,57204,328947,365210,31781,396991,911854,63,9,72,88,486,574,54,24,78,724,71,82,153,1039,407,914177,16832981,8034945,16000,22077,50,436,59,20,105084,101426,49327,25041,2980,91991,196381,201,0,29,0,0,411664,1046,84,1130,42169,1778,43947,663878,665,656,1619,871,43
28,536,Hyderabad,100422,42857,0,3670,3670,0,42194,42194,0,45864,45864,412,199,51,12,95,769,1106,903,4766,1953,270,551,9549,10318,335,59,8,686,232,1320,479,424,1387,3570,276,376,6512,7832,18150,771,572,54,61,123,1581,2307,1612,18770,2745,427,272,26133,27714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,59,73,17,35,52,125,2335,3789,6124,2193,4739,6932,13056,13181,7482,5721,13203,7392,11094,4976,3305,26767,39970,0,0,0,0,0,0,0,101,129,230,58,86,144,374,374,218,125,190,533,252,201,453,986,3,2,5,0,0,0,0,0,0,0,6,18,24,7,11,18,42,38936,17524,56460,1496,1736,3232,3,3,6,7944,2219,10163,13308,4267,17575,9806,5175,14981,42719,18,0,18,69,35,104,0,0,0,122,1,15,16,0,0,42857,0,0,0,0,5,76,0,0,7623,14258,25876,7184,293,21161,0,250,245,0,0,0,0,0,1338,1338,0,14466,14466,801540,23,35,16,50,0
28,537,Rangareddy,1701584,15114027,178306,6563,184869,357783,48965,406748,536089,55528,591617,10013,1392,1869,497,214,13985,17297,7960,38828,10104,3226,603,78018,92003,13352,5550,112016,3842,402,135162,21176,12336,38550,15790,3657,1579,93088,228250,320253,29015,3915,1850,676,266,35722,48155,24110,121340,31765,7525,2747,235642,271364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,306,639,402,649,1051,1690,64794,52443,117237,141251,402039,543290,660527,662217,53809,39995,93804,86281,160962,70076,18268,335587,429391,301,200,501,232,127,359,860,3099,2710,5809,4671,5556,10227,16036,16896,57,31,732,820,14,80,94,914,120,303,423,12,40,52,9,43,52,104,3,6,9,4,9,13,22,78312,38121,116433,2180,2661,4841,0,0,0,117050,12125,129175,261662,17165,278827,343676,13816,357492,765494,153,27,180,873,263,1136,271,22,293,1609,101,147,248,18010,461,785822,9227768,5045182,34575,20680,86,776,75,3,86850,67854,60919,23285,2980,101706,124039,136,97,8,26,6,11930,208,838,1046,41673,52138,93811,1510316,212,180,438,284,11
28,538,Mahbubnagar,5710725,12713651,415162,4504,419666,805972,12205,818177,1221134,16709,1237843,10786,1142,4105,666,122,16821,20421,9343,41495,7469,3116,898,82742,99563,49294,18875,245775,38871,1962,354777,77144,62762,137326,55489,30096,6167,368984,723761,823324,35594,5038,5137,1883,416,48068,84046,54451,150691,51176,22126,3961,366451,414519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,735,1671,1109,1697,2806,4477,392874,241226,634100,792533,2298260,3090793,3724893,3729370,90403,78808,169211,147029,222213,94618,53895,517755,686966,59,44,103,54,74,128,231,10018,9272,19290,14762,20344,35106,54396,54627,145,245,1,391,390,351,741,1132,2,0,2,137,280,417,125,230,355,772,4,5,9,4,0,4,13,37659,21676,59335,539,185,724,0,0,0,284551,30090,314641,494527,137529,632056,691283,52991,744274,1690971,178,17,195,323,135,458,194,39,233,886,112,295,407,26005,1053,1719322,4988367,5931738,6440,67784,79,488,412,6,205269,106944,71494,87930,2737,223771,458698,42,17,7,8,0,10621,1022,185,1207,69438,1533,70971,865517,951,479,4309,794,63
28,539,Nalgonda,3750015,9051500,346381,2304,348685,925786,10427,936213,1272167,12731,1284898,13697,621,1223,363,75,15979,17106,6734,23423,6180,1458,349,55250,71229,46194,8746,125279,9245,2198,191662,53930,43500,72427,44316,16379,3028,233580,425242,496471,124140,5946,4766,4367,1825,141044,152612,104512,233782,109265,38348,8864,647383,788427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,1089,2197,2431,3460,5891,8088,241146,174164,415310,432913,1049974,1482887,1898197,1906285,72865,60999,133864,119611,140837,91178,48283,399909,533773,90,78,168,112,114,226,394,4048,4456,8504,6890,9203,16093,24597,24991,4,51,0,55,0,1,1,56,3,7,10,0,1,1,0,1,1,2,0,0,0,0,0,0,0,14346,6141,20487,328,506,834,0,0,0,299350,12045,311395,560966,21291,582257,885030,35496,920526,1814178,1592,47,1639,3135,74,3209,278,15,293,5141,440,547,987,57,1164,1821527,2844633,4352014,270,33056,48,267,159,4,114331,190207,43962,46562,1441,200165,458167,16,14,1,0,0,2110,1194,12,1206,45317,2310,47627,835497,594,944,2282,639,30
28,540,Warangal,3310503,5251045,432031,2593,434624,635451,5362,640813,1067482,7955,1075437,4927,368,1409,419,143,7266,5714,3640,11585,3150,1279,243,25611,32877,33016,10662,293474,21400,2301,360853,37171,30675,64761,41456,15416,2832,192311,553164,586041,51656,3864,7238,2419,1328,66505,93905,63070,173746,64403,23939,3828,422891,489396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,208885,124113,332998,390539,1025646,1416185,1749183,1749189,66865,53085,119950,98699,123623,70583,33913,326818,446768,354,531,885,555,862,1417,2302,7539,6671,14210,10397,12180,22577,36787,39089,2,0,0,2,0,0,0,2,0,0,0,0,1,1,0,17,17,18,0,0,0,0,0,0,0,10806,5378,16184,471,589,1060,0,0,0,390473,29716,420189,672320,45116,717436,1140447,55331,1195778,2333403,288,41,329,479,48,527,318,10,328,1184,209,183,392,23,1263,2336265,2279054,631352,0,4374,23,120,8,1,170256,138161,26967,34634,2416,240200,106460,0,1,1,0,0,1,516,73,589,28104,2811,30915,869908,674,563,2011,514,45
28,541,Khammam,2157002,2213844,321512,3369,324881,821326,15546,836872,1142838,18915,1161753,359,73,118,35,2,587,592,474,993,382,257,105,2803,3390,45616,13875,167242,16789,1649,245171,72076,53663,115182,68693,24909,8102,342625,587796,591186,68244,3676,4234,2085,884,79123,112789,75288,185871,74956,32273,10267,491444,570567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,317,515,471,586,1057,1572,73126,52487,125613,120967,231113,352080,477693,479265,75549,61868,137417,107860,131035,72348,44902,356145,493562,360,512,872,265,520,785,1657,4297,3811,8108,6687,5957,12644,20752,22409,2,0,0,2,3,0,3,5,0,0,0,0,2,2,2,2,4,6,0,0,0,2,0,2,2,13281,7224,20505,229,227,456,0,0,0,281110,12659,293769,504994,20838,525832,900226,31318,931544,1751145,156,9,165,552,9,561,88,24,112,838,9,29,38,0,429,1752450,106000,344216,0,11178,4,142,11,0,126641,130024,29426,10379,3375,191147,90726,3,4,0,0,0,6,529,569,1098,46624,2768,49392,722282,818,790,664,683,31
