"state_code","district_code","total_livestock","total_poultry","rural_bovine_male","urban_bovine_male","total_bovine_male","rural_bovine_female","urban_bovine_female","total_bovine_female","rural_bovine_total","urban_bovine_total","total_bovine","Upto_one_half_year_mec","used_breeding_only_mec","used_draught_only_mec","used_draught_breeding_mec","others_mec","total_mec","Upto_one_half_year_fec","one_two_half_years_fec","in_milk_fec","dry_fec","not_calved_once_fec","others_fec","total_fec","total_ec","upto_two_year_mic","used_breeding_only_mic","used_draught_only_mic","used_draught_breeding_mic","others_mic","total_mic","Upto_one_year_fic","one_three_years_fic","in_milk_fic","dry_fic","not_calved_once_fic","others_fic","total_fic","total_ic","total_cattle","upto_two_year_mb","used_breeding_only_mb","used_draught_only_mb","used_draught_breeding_mb","others_mb","total_mb","Upto_one_year_fb","one_three_years_fb","in_milk_fb","dry_fb","not_calved_once_fb","others_fb","total_fb","total_buffaloes","u_3_male_mithuns","u_3_female_mithuns","u_3_total_mithuns","a_3_male_mithuns","a_3_female_mithuns","a_3_total_mithuns","total_mithuns","u_3_male_yaks","u_3_female_yaks","u_3_total_yaks","a_3_male_yaks","a_3_female_yaks","a_3_total_yaks","total_yaks","u_1_male_exo_sheep","a_1_male_exo_sheep","total_male_exo_sheep","u_1_female_exo_sheep","a_1_female_exo_sheep","total_female_exo_sheep","total_exo_sheep","u_1_male_indi_sheep","a_1_male_indi_sheep","total_male_indi_sheep","u_1_female_indi_sheep","a_1_female_indi_sheep","total_female_indi_sheep","total_indi_sheep","total_sheep","u_1_goat_male","a_1_goat_male","total_male_goat","u_1_goat_female","in_milk_female_goat","dry_female_goat","not_calved_once_goat","total_female_goat","total_goats","u_6_exo_male_pig","a_6_exo_male_pig","exo_male_pig","u_6_exo_female_pig","a_6_exo_female_pig","exo_female_pig","total_exo_pig","u_6_indi_male_pig","a_6_indi_male_pig","indi_male_pig","u_6_indi_female_pig","a_6_indi_female_pig","indi_female_pig","total_indi_pig","total_pigs","under_3_year_horse_male","used_cart_car_horse_male","used_sport_male_horse","male_horse","under_3_year_horse_female","above_3_year_female_horse","female_horse","total_horses_ponies","under_3_year_mules","above_3_year_mules","total_mules","under_3_male_donkey","above_3_male_donkey","male_donkey","under_3_female_donkey","above_3_female_donkey","female_donkey","total_donkey","under_4_male_camel","above_4_male_camel","male_camel","under_4_female_camel","above_4_female_camel","female_camel","total_camel","male_dogs","female_dogs","total_dogs","male_rabbits","female_rabbits","total_rabbits","male_elephants","female_elephants","total_elephants","desi_cocks","improved_cocks","total_cocks","desi_hens","improved_hens","total_hens","desi_chickens_5_months","improved_chickens_5_months","total_chickens_5_months","total_fowls","desi_drakes","improved_drakes","total_drakes","desi_ducks","improved_ducks","total_ducks","desi_ducklings_6_months","improved_ducklings_6_months","total_ducklings_6_months","ducks","male_turkeys","female_turkeys","total_turkeys","quails","other_poultry_birds","total_poultry_birds","no_layer_fh","no_broiler_fh","no_ducks_fh","no_others_fh","no_milking_machine","no_mfc","no_baler_chopper","no_dc_de","hhs_hhs_e_cattle","hhs_hhs_e_buffaloes","hhs_hhs_e_goats","hhs_hhs_e_sheep","hhs_hhs_e_pigs","hhs_hhs_e_byp","hhs_hhs_e_poultry_f_h","non_hhs_e_i_cattle","non_hhs_e_i_buffaloes","non_hhs_e_i_goats","non_hhs_e_i_sheep","non_hhs_e_i_pigs","non_hhs_e_i_poultry_f_h","stray_cattle_rural","stray_cattle_urban","stray_cattle_total","stray_dogs_rural","stray_dogs_urban","stray_dogs_total","no_hhs","cattle_1000_hhs","buffaloes_1000_hhs","sheep_1000_hhs","goats_1000_hhs","pigs_1000_hhs"
28,532,2545111,1839438,491198,6389,497587,773589,23439,797028,1264787,29828,1294615,2955,670,1073,262,132,5092,3485,2071,3712,1824,786,696,12574,17666,72609,28579,356558,17367,1786,476899,104362,98497,160581,80450,28902,7162,479954,956853,974519,9639,4263,1250,113,331,15596,64397,50787,119475,49363,16955,3523,304500,320096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,146,542,426,1170,1596,2138,83905,67699,151604,168149,359323,527472,679076,"681214",98986,63457,162443,118559,161439,79067,38821,397886,560329,66,45,111,62,83,145,256,1428,1614,3042,2320,3226,5546,8588,8844,1,0,3,4,1,3,4,8,0,0,0,85,11,96,0,0,0,96,1,4,5,0,0,0,5,8616,4611,13227,91,95,186,0,0,0,230936,13483,244419,398847,21292,420139,849891,31985,881876,1546434,107,27,134,988,36,1024,92,4,96,1254,48,74,122,50,323,1548183,83200,166800,2000,39255,49,36,3,0,204918,64639,51871,18133,627,147362,9360,0,1,4,2,0,2711,3396,233,3629,34322,2053,36375,586810,1661,545,1161,955,15
28,533,2154188,3580805,157694,1717,159411,564552,11096,575648,722246,12813,735059,4340,139,791,31,24,5325,7099,639,15161,7562,297,99,30857,36182,33779,5110,75080,2271,1229,117469,43621,21392,79059,20870,12112,3865,180919,298388,334570,32636,1867,1258,289,567,36617,95935,42159,162193,38654,18911,6020,363872,400489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,318,885,1731,2016,3747,4632,79590,68308,147898,169005,599024,768029,915927,"920559",52791,34055,86846,90110,204003,64636,32205,390954,477800,111,174,285,167,188,355,640,2904,3430,6334,4877,7965,12842,19176,19816,14,23,1,38,5,12,17,55,14,85,99,122,474,596,53,110,163,759,2,3,5,27,9,36,41,8733,4373,13106,47,62,109,0,0,0,49959,2788,52747,276754,4443,281197,457787,4628,462415,796359,190,13,203,2147,14,2161,1674,4,1678,4042,102,132,234,1,107,800743,1452523,1325705,110,1724,7,60,0,0,51983,89055,13130,10311,516,56283,194838,44,50,12,7,0,0,3327,99,3426,24603,2922,27525,578382,578,692,1592,826,34
28,534,2957092,5325346,296500,3176,299676,564933,9608,574541,861433,12784,874217,7129,809,2665,462,177,11242,13874,7677,22587,4648,2688,453,51927,63169,20840,6787,205192,4159,1275,238253,20607,20068,35593,14965,9056,1674,101963,340216,403385,43132,2906,2581,932,630,50181,93873,68731,175791,46353,29081,6822,420651,470832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,1594,4289,4758,7830,12588,16877,165580,128020,293600,391565,940819,1332384,1625984,"1642861",50330,43155,93485,89505,133383,54436,36683,314007,407492,631,735,1366,797,1014,1811,3177,4773,5245,10018,8310,10919,19229,29247,32424,3,19,1,23,4,24,28,51,0,0,0,12,6,18,8,10,18,36,0,1,1,10,0,10,11,9781,4444,14225,626,260,886,0,0,0,261814,14420,276234,515664,26016,541680,775315,33384,808699,1626613,532,8,540,888,57,945,4170,4,4174,5659,140,240,380,15034,481,1648167,1811861,1857225,4150,3943,42,83,15,0,121904,155247,33664,52537,2132,180639,292100,69,25,7,4,0,3450,1230,1346,2576,51810,3955,55765,920746,438,511,1784,443,35
28,535,2559981,25820180,318357,870,319227,552517,5571,558088,870874,6441,877315,3616,471,2395,209,40,6731,5926,3182,12526,2539,1162,117,25452,32183,40582,11762,152121,7734,839,213038,41459,31755,71688,30639,17340,3591,196472,409510,441693,56382,7214,32550,2673,639,99458,81646,50154,141925,40889,19083,2467,336164,435622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,1291,2543,378,1574,1952,4495,116758,93731,210489,243648,616053,859701,1070190,"1074685",75615,61434,137049,115639,186481,87413,51340,440873,577922,430,471,901,897,746,1643,2544,5333,4637,9970,7241,9095,16336,26306,28850,5,28,7,40,20,19,39,79,0,0,0,319,490,809,99,208,307,1116,10,3,13,0,1,1,14,21740,14281,36021,148,110,258,0,0,0,169005,16911,185916,271743,57204,328947,365210,31781,396991,911854,63,9,72,88,486,574,54,24,78,724,71,82,153,1039,407,914177,16832981,8034945,16000,22077,50,436,59,20,105084,101426,49327,25041,2980,91991,196381,201,0,29,0,0,411664,1046,84,1130,42169,1778,43947,663878,665,656,1619,871,43
28,536,100422,42857,0,3670,3670,0,42194,42194,0,45864,45864,412,199,51,12,95,769,1106,903,4766,1953,270,551,9549,10318,335,59,8,686,232,1320,479,424,1387,3570,276,376,6512,7832,18150,771,572,54,61,123,1581,2307,1612,18770,2745,427,272,26133,27714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,59,73,17,35,52,125,2335,3789,6124,2193,4739,6932,13056,"13181",7482,5721,13203,7392,11094,4976,3305,26767,39970,0,0,0,0,0,0,0,101,129,230,58,86,144,374,374,218,125,190,533,252,201,453,986,3,2,5,0,0,0,0,0,0,0,6,18,24,7,11,18,42,38936,17524,56460,1496,1736,3232,3,3,6,7944,2219,10163,13308,4267,17575,9806,5175,14981,42719,18,0,18,69,35,104,0,0,0,122,1,15,16,0,0,42857,0,0,0,0,5,76,0,0,7623,14258,25876,7184,293,21161,0,250,245,0,0,0,0,0,1338,1338,0,14466,14466,801540,23,35,16,50,0
28,537,1701584,15114027,178306,6563,184869,357783,48965,406748,536089,55528,591617,10013,1392,1869,497,214,13985,17297,7960,38828,10104,3226,603,78018,92003,13352,5550,112016,3842,402,135162,21176,12336,38550,15790,3657,1579,93088,228250,320253,29015,3915,1850,676,266,35722,48155,24110,121340,31765,7525,2747,235642,271364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,306,639,402,649,1051,1690,64794,52443,117237,141251,402039,543290,660527,"662217",53809,39995,93804,86281,160962,70076,18268,335587,429391,301,200,501,232,127,359,860,3099,2710,5809,4671,5556,10227,16036,16896,57,31,732,820,14,80,94,914,120,303,423,12,40,52,9,43,52,104,3,6,9,4,9,13,22,78312,38121,116433,2180,2661,4841,0,0,0,117050,12125,129175,261662,17165,278827,343676,13816,357492,765494,153,27,180,873,263,1136,271,22,293,1609,101,147,248,18010,461,785822,9227768,5045182,34575,20680,86,776,75,3,86850,67854,60919,23285,2980,101706,124039,136,97,8,26,6,11930,208,838,1046,41673,52138,93811,1510316,212,180,438,284,11
28,538,5710725,12713651,415162,4504,419666,805972,12205,818177,1221134,16709,1237843,10786,1142,4105,666,122,16821,20421,9343,41495,7469,3116,898,82742,99563,49294,18875,245775,38871,1962,354777,77144,62762,137326,55489,30096,6167,368984,723761,823324,35594,5038,5137,1883,416,48068,84046,54451,150691,51176,22126,3961,366451,414519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,735,1671,1109,1697,2806,4477,392874,241226,634100,792533,2298260,3090793,3724893,"3729370",90403,78808,169211,147029,222213,94618,53895,517755,686966,59,44,103,54,74,128,231,10018,9272,19290,14762,20344,35106,54396,54627,145,245,1,391,390,351,741,1132,2,0,2,137,280,417,125,230,355,772,4,5,9,4,0,4,13,37659,21676,59335,539,185,724,0,0,0,284551,30090,314641,494527,137529,632056,691283,52991,744274,1690971,178,17,195,323,135,458,194,39,233,886,112,295,407,26005,1053,1719322,4988367,5931738,6440,67784,79,488,412,6,205269,106944,71494,87930,2737,223771,458698,42,17,7,8,0,10621,1022,185,1207,69438,1533,70971,865517,951,479,4309,794,63
28,539,3750015,9051500,346381,2304,348685,925786,10427,936213,1272167,12731,1284898,13697,621,1223,363,75,15979,17106,6734,23423,6180,1458,349,55250,71229,46194,8746,125279,9245,2198,191662,53930,43500,72427,44316,16379,3028,233580,425242,496471,124140,5946,4766,4367,1825,141044,152612,104512,233782,109265,38348,8864,647383,788427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,1089,2197,2431,3460,5891,8088,241146,174164,415310,432913,1049974,1482887,1898197,"1906285",72865,60999,133864,119611,140837,91178,48283,399909,533773,90,78,168,112,114,226,394,4048,4456,8504,6890,9203,16093,24597,24991,4,51,0,55,0,1,1,56,3,7,10,0,1,1,0,1,1,2,0,0,0,0,0,0,0,14346,6141,20487,328,506,834,0,0,0,299350,12045,311395,560966,21291,582257,885030,35496,920526,1814178,1592,47,1639,3135,74,3209,278,15,293,5141,440,547,987,57,1164,1821527,2844633,4352014,270,33056,48,267,159,4,114331,190207,43962,46562,1441,200165,458167,16,14,1,0,0,2110,1194,12,1206,45317,2310,47627,835497,594,944,2282,639,30
28,540,3310503,5251045,432031,2593,434624,635451,5362,640813,1067482,7955,1075437,4927,368,1409,419,143,7266,5714,3640,11585,3150,1279,243,25611,32877,33016,10662,293474,21400,2301,360853,37171,30675,64761,41456,15416,2832,192311,553164,586041,51656,3864,7238,2419,1328,66505,93905,63070,173746,64403,23939,3828,422891,489396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,208885,124113,332998,390539,1025646,1416185,1749183,"1749189",66865,53085,119950,98699,123623,70583,33913,326818,446768,354,531,885,555,862,1417,2302,7539,6671,14210,10397,12180,22577,36787,39089,2,0,0,2,0,0,0,2,0,0,0,0,1,1,0,17,17,18,0,0,0,0,0,0,0,10806,5378,16184,471,589,1060,0,0,0,390473,29716,420189,672320,45116,717436,1140447,55331,1195778,2333403,288,41,329,479,48,527,318,10,328,1184,209,183,392,23,1263,2336265,2279054,631352,0,4374,23,120,8,1,170256,138161,26967,34634,2416,240200,106460,0,1,1,0,0,1,516,73,589,28104,2811,30915,869908,674,563,2011,514,45
28,541,2157002,2213844,321512,3369,324881,821326,15546,836872,1142838,18915,1161753,359,73,118,35,2,587,592,474,993,382,257,105,2803,3390,45616,13875,167242,16789,1649,245171,72076,53663,115182,68693,24909,8102,342625,587796,591186,68244,3676,4234,2085,884,79123,112789,75288,185871,74956,32273,10267,491444,570567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,317,515,471,586,1057,1572,73126,52487,125613,120967,231113,352080,477693,"479265",75549,61868,137417,107860,131035,72348,44902,356145,493562,360,512,872,265,520,785,1657,4297,3811,8108,6687,5957,12644,20752,22409,2,0,0,2,3,0,3,5,0,0,0,0,2,2,2,2,4,6,0,0,0,2,0,2,2,13281,7224,20505,229,227,456,0,0,0,281110,12659,293769,504994,20838,525832,900226,31318,931544,1751145,156,9,165,552,9,561,88,24,112,838,9,29,38,0,429,1752450,106000,344216,0,11178,4,142,11,0,126641,130024,29426,10379,3375,191147,90726,3,4,0,0,0,6,529,569,1098,46624,2768,49392,722282,818,790,664,683,31
