"state_code","district_code","dt_num","dt_area","dug_num","dug_area","sfs_num","sfs_area","sls_num","sls_area","st_num","st_area"
28,532,818,1390.15,28746,32288.26,574,29561.58,442,350.37,16172,30214.58
28,533,2,4.64,7220,9161.98,0,58015.61,1888,12594.79,131361,238385.03
28,534,7028,8608.95,209882,307319.97,1,53595.6,3,6.48,18038,29410.58
28,535,24074,38187.29,26647,30149.17,0,49621.92,1268,2303.44,97819,135550.59
28,537,2104,3388.56,27045,29342.79,142,10399.63,202,987.41,49445,83654.76
28,538,13722,19698.87,68393,52468.67,1268,24011.95,1238,7553.83,97474,134469.45
28,539,1598,1653.7,61994,87620.77,49,48229.19,3422,21891.6,122377,167870.26
28,540,3745,4424.94,157837,195374.41,97,108828.14,400,2310.46,46173,55171.74
28,541,3615,8216.43,42533,57524.17,701,67279.22,5012,27174.12,16636,34491.13
