"state_code","district_code","cond_house_all_total","cond_house_all_good","cond_house_all_livable","cond_house_all_dilapidated","cond_house_res_total","cond_house_res_good","cond_house_res_livable","cond_house_res_dilapidated","cond_house_res_oth_total","cond_house_res_oth_good","cond_house_res_oth_livable","cond_house_res_oth_dilapidated","mor_grass","mor_plastic","mor_hand_tiles","mor_machine_tiles","mor_burnt_brick","mor_stone_slate","mor_gi_metal","mor_concrete","mor_oth","mow_grass","mow_plastic","mow_mud","mow_wood","mow_stone_unpack","mow_stone_pack","mow_gi_metal","mow_burnt_brick","mow_concrete","mow_oth","mof_mud","mof_wood","mof_burnt_brick","mof_stone","mof_cement","mof_mosaic","mof_oth","none_dwell_room","one_dwell_room","two_dwell_room","three_dwell_room","four_dwell_room","five_dwell_room","six_above_dwell_room","HH_size_one","HH_size_two","HH_size_three","HH_size_four","HH_size_five","HH_size_six_eight","HH_size_nine_plus","H_owned","H_rented","H_any_others","mc_none","mc_one","mc_two","mc_three","mc_four","mc_five","sdw_tap_treated","sdw_tap_untreated","sdw_covered_well","sdw_uncovered_well","sdw_handpump","sdw_tube_bore","sdw_spring","sdw_river","sdw_tank","sdw_others","idw_within_premise","idw_near_premise","idw_away_premise","sl_electricity","sl_kerosene","sl_solar","sl_other_oil","sl_any_other","sl_no_light","hhs_lf_within_premise","fl_sewer_piped","fl_septic","fl_other","pl_slab","pl_no_slab","soil_disp_open_drain","sl_ns_rem_human","sl_ns_rem_animal","hhs_lf_outside_premise","public_l","open_l","hhs_bath_f","hhs_bath_noroof","hhs_no_bath_f","wwo_close_drainage","wwo_open_drainage","wwo_no_drainage","fc_firewood","fc_crop_residue","fc_cowdung","fc_coal_types","fc_kerosone","fc_lpg","fc_electricity","fc_biogas","fc_other","fc_no_cooking","kf_total","kf_inside_house","kf_has_i_k","kf_no_i_k","kf_outside_house","kf_has_o_k","kf_no_o_k","kf_no_cooking","hhs_bank_services","aa_radio","aa_tv","aa_comp_int","aa_comp_no_int","aa_ll","aa_mobile","aa_ll_mobile","aa_bicycle","aa_scooter","aa_car","aa_tv_c_ph_car","aa_none","hhs_cen_house_perm","hhs_cen_house_semi_perm","hhs_cen_house_temp","hhs_cen_house_service","hhs_cen_house_nonservice","hhs_cen_house_unclassify"
28,532,100,57.8,35.7,6.5,98.8,57,35.3,6.5,1.2,0.8,0.4,0,3.4,0.4,15.3,47.9,0.4,1.4,18,12.9,0.3,11.8,0.4,16.1,6,2.7,13.8,0.1,48,0.5,0.5,52.4,0.2,0.5,24.2,21.8,0.8,0.1,2.7,44.6,37.7,8.9,4.8,0.7,0.8,4.5,13.1,15.8,26.9,20.1,17.9,1.7,93.3,5.4,1.3,13,76.6,9.4,1,0.1,0,15,16.3,1,17.1,36.4,12.1,0.5,0.7,0.2,0.8,25.8,36,38.3,83.6,14.4,0.3,0.4,0.2,1,13.8,1.7,8.3,1,2.1,0.2,0.2,0,0.2,86.2,1.8,84.4,16,30.8,53.2,4.4,26.5,69.1,80,2,0.3,0.1,0.3,16.5,0.1,0.4,0.1,0.2,100,73.9,27.2,46.7,25.9,8,17.9,0.2,49.8,3.9,37.4,0.4,5.8,2.1,51.6,1.5,18.6,9,0.8,0.5,32,64.4,31.8,3.1,0.8,2.3,0.8
28,533,100,63.9,31.8,4.3,93,59.2,29.7,4.2,7,4.7,2.1,0.1,6.6,0.3,36.1,20.9,0.3,1.2,6.8,27.8,0.2,4.1,0.3,44.4,1,3.6,11.9,0.1,33,1.3,0.2,42,0.1,0.4,27.8,28,1.4,0.2,2,33.1,43,12.8,6.7,1.3,1.1,4.3,12.1,16.5,27.7,20.4,17.3,1.8,89.8,9.3,1,14.4,72.1,12.1,1.3,0.1,0,45.5,31.7,0.4,1.6,7,11.6,0.1,0.1,0.2,1.8,36.9,38.6,24.4,91,7.7,0.3,0.3,0.1,0.6,29.4,2.8,19.4,1,5.2,0.5,0.4,0,0.2,70.6,1.2,69.4,32.5,34.2,33.3,11.5,56.6,32,72.7,1.6,0.4,0.1,1.4,23,0,0.4,0.1,0.2,100,71.7,33.8,37.9,28.1,7.6,20.6,0.2,59.7,7,47.5,0.4,4.2,4,62.5,3.2,35,13.7,1.1,0.7,19.2,49.4,43.9,6.3,3.6,2.8,0.3
28,534,100,62.5,32.4,5.1,98.2,61.2,31.9,5.1,1.8,1.3,0.5,0,4.1,0.5,22.4,34.4,0.2,1.4,11.9,25,0.2,3.8,0.3,33,0.4,1.8,12.7,0.1,46.6,0.9,0.3,30.9,0.1,0.4,46.2,20.4,1.8,0.2,2.3,36.2,41.1,13,5.9,0.9,0.6,6.4,16,16.9,30.4,17.6,12,0.8,91.4,7.5,1.1,14.5,74.9,9.7,0.8,0.1,0,33.6,33.3,0.5,16,8.3,5.8,0.1,0,0,2.4,61.4,22.2,16.4,93.4,5.4,0.2,0.2,0.1,0.6,34.2,2.7,17.9,1,11,1.3,0.2,0,0.1,65.8,0.9,64.8,29.4,31.7,38.9,8.3,35.5,56.1,71.9,1.2,0.1,0.3,1.1,24.6,0,0.5,0.1,0.2,100,57.6,25.4,32.2,42.2,5.1,37,0.2,48.7,3.6,55,0.4,3.2,2.2,62.7,1.3,41.4,14.5,0.8,0.5,19.7,61.5,34.1,3.9,1.7,2.2,0.5
28,535,100,61,34.6,4.4,98,59.9,33.8,4.4,2,1.2,0.8,0,5.2,0.3,27.6,26.9,0.4,7.6,11.3,20.4,0.3,2.8,0.3,43.1,0.8,13.5,16.4,0.2,22.1,0.8,0.2,52.4,0.2,0.4,30.5,14.5,1.7,0.4,2.3,33.7,37.1,16.6,7.4,1.6,1.3,3.1,9.7,14,25.6,22.2,22,3.4,94.2,5,0.8,11.2,71,15.2,2.2,0.3,0.1,36.3,35,0.5,1.8,10.6,14.4,0,0,0,1.3,34.6,37.8,27.6,88.7,9.8,0.4,0.4,0.1,0.6,31.8,3.1,13,0.9,12.8,1.4,0.3,0,0.3,68.2,1.6,66.6,33.6,21.3,45,13.1,51.4,35.4,84,1.6,0.5,0.1,0.8,12.2,0.1,0.4,0.1,0.2,100,71.2,41.9,29.3,28.6,9.1,19.5,0.2,53,9.1,45.6,0.4,4.5,3.9,61.5,3,34.7,13.5,1.3,0.7,19.9,52,42.7,4.8,3.1,1.7,0.5
28,537,100,72.3,25.5,2.2,97.9,70.8,25,2.2,2.1,1.5,0.5,0,2.9,0.4,7.8,6.5,0.5,36.7,13.5,31,0.7,1,0.4,18.1,0.7,19.6,25.5,0.2,32.5,1.3,0.6,24.9,0.4,0.4,56,13.5,4,0.8,1.5,32.2,37.1,16.4,8.8,2,2,3,10.1,14.4,26.9,22.1,20.3,3.2,89.3,9.2,1.5,11.3,74.2,12.4,1.8,0.3,0,38.6,37.9,0.4,2.2,8.7,10.3,0,0,0,1.8,41,36.2,22.8,90.4,8.3,0.3,0.3,0.2,0.4,43.5,8.2,18,1.1,14.4,1.2,0.3,0.1,0.3,56.5,1.7,54.7,46.3,15.1,38.6,24.3,42.8,32.9,69.5,1.6,0.3,0.1,2.9,24.6,0.1,0.5,0.1,0.4,100,82.7,51.7,31,16.9,4.4,12.5,0.4,56.9,10.3,54,1,5.2,3.2,67.4,2.2,18.4,20.4,2.3,1.6,17.6,77.2,19.6,1.9,1.2,0.6,1.3
28,538,100,62.9,30.8,6.2,98.5,62,30.3,6.2,1.5,0.9,0.5,0.1,28.6,0.4,3.5,6.7,0.3,9.4,7.3,43.1,0.6,4.7,0.3,18.3,0.6,13.9,20.5,0.2,39.8,1.3,0.4,35.3,0.2,0.4,46.3,15.5,1.9,0.5,4.5,37.3,38.2,10.8,6.4,1.3,1.5,3.1,9.3,13.9,25.3,22.3,22.1,4,95.7,3.5,0.8,11.7,71.9,13.7,2.3,0.4,0.1,32.5,43.7,0.4,0.8,14,6.7,0.2,0.3,0.1,1.1,28.1,40.2,31.7,85.1,13,0.4,0.5,0.2,0.8,17.9,1.7,10.2,0.9,3.5,1.2,0.2,0,0.3,82.1,2.5,79.6,24.2,28.6,47.2,4.9,36.3,58.7,88.5,1.7,0.1,0.2,0.5,8.2,0.1,0.3,0.1,0.3,100,64.1,34.3,29.9,35.6,8.2,27.4,0.3,50.2,6.3,36.1,0.3,5.8,2.3,58.3,1.6,15.6,10.5,1,0.5,27.5,60.6,24.1,14.3,10.1,4.2,1
28,539,100,59.8,34.2,5.9,98,58.5,33.6,5.9,2,1.3,0.7,0.1,11.3,0.4,6.9,12.1,0.3,2.5,19.7,46.2,0.7,3.3,0.4,24,0.4,3.2,14,0.2,51.8,1.4,1.4,32.8,0.6,0.6,38.4,25.9,1.2,0.5,1.7,33.8,42.9,11.7,7.4,1.1,1.4,5.5,14.2,16.3,30.1,18.6,13.9,1.3,92.6,6,1.4,14,74.1,10.7,1,0.1,0,25.7,40,0.6,3.7,12.8,8.2,0.1,0.2,0,8.6,35.7,36.3,28,88.7,9.9,0.2,0.4,0.2,0.6,31.9,1.6,21.4,1.4,5.6,1.6,0.1,0,0.2,68.1,0.9,67.1,24.6,22.8,52.6,4.6,31.5,63.9,76.7,2.5,0.2,0.2,1.1,17.9,0.1,1,0,0.4,100,45.4,19.4,26,54.2,6.9,47.3,0.4,47.4,4.5,48.2,0.5,4.6,2.5,59.4,1.7,31.9,12.9,1.6,0.9,22.6,67.5,21.7,8.8,6.3,2.5,2
28,540,100,52.8,38.8,8.5,98.2,51.6,38.2,8.4,1.8,1.2,0.5,0,10.8,0.5,11.3,32.6,0.3,1.6,13.1,29.5,0.3,7.4,0.5,30.2,0.6,1.7,9.9,0.2,47.8,1,0.7,53.7,0.3,0.4,37.1,7.4,0.8,0.2,2,36.6,41.8,12.2,6,0.7,0.6,5.5,15,16.1,31,18,13.3,1.1,93.9,5.3,0.9,13,75.2,10.8,0.9,0.1,0,23.3,41.4,0.6,8.6,14.6,7.7,0.2,0.1,0.1,3.5,46.6,26.9,26.5,91.9,6.9,0.2,0.3,0.2,0.6,29.7,1.9,12.2,1.6,11,2.6,0.2,0,0.2,70.3,1,69.3,20.5,24.4,55.2,3.5,21.4,75.1,83.9,1.6,0.2,0.2,0.6,12.7,0,0.4,0.1,0.3,100,41.5,18.5,23,58.2,9.1,49.1,0.3,44.3,6.1,43.4,0.5,3.7,3.6,51.8,1.9,34.6,9.3,0.9,0.5,26.4,59.3,29.6,10.1,5.5,4.7,1
28,541,100,61,33.9,5.2,98.6,60,33.5,5.1,1.4,0.9,0.4,0,26.4,0.2,2.3,11.6,0.2,1.6,9.8,47.7,0.3,19.8,0.4,12.3,1.5,1.2,10.8,0.1,51.7,1.1,1.1,44,0.3,0.5,22.9,31.1,1,0.2,3.7,44.6,37.9,7.5,4.9,0.6,0.7,5.6,16.8,19.2,33.3,15.2,9.3,0.6,90.3,7.8,1.9,15.4,76.6,7.4,0.5,0,0,32,25.8,0.8,7.2,24.4,7.9,0.2,0.8,0.1,1,43.3,34.1,22.6,87.4,11.3,0.3,0.4,0.1,0.6,37.4,2.4,28.3,0.9,4.4,1.1,0.1,0,0.1,62.6,1.1,61.5,28.1,15.9,56,4,22.4,73.6,75.8,1.3,0.2,0.2,0.5,18.9,0,2.6,0.1,0.4,100,50,22.6,27.5,49.6,9.6,40,0.4,42.1,4.2,50.5,0.5,3.5,2.4,47.2,1.8,36,11.1,0.9,0.7,25.7,63.2,10.7,24.8,8.5,16.3,1.3
